done,Term,Term (german),Synonym,Synonym (german),Keywords,Keywords (german),Explanation,Explanation (german),Additional Information,Related References,Wikipedia-Link,Image/Animation,Acknowledgement/Guest Contributer,
yes,CONDOR,CONDOR,,,Software,Software,"This code is used to calculate solid phase condensation sequences in the protoplanetary disk, specifically gas-solid chemical equilibrium as a function of temperature, pressure, and element abundances.","This code is used to calculate solid phase condensation sequences in the protoplanetary disk, specifically gas-solid chemical equilibrium as a function of temperature, pressure, and element abundances.",,"Lodders+Fegely,1993",None,,,
yes,DFG,DFG,Deutsche Forschungsgemeinschaft,Deutsche Forschungsgemeinschaft,funding agency,Förderargentur,"The largest funding agency in Germany, primarliy funding established main stream science through peer reviewed panels.","The largest funding agency in Germany, primarliy funding established main stream science through peer reviewed panels.",,DFG,None,,,
yes,ERC,ERC,European Research Council,European Research Council,funding agency,Förderargentur,European funding agency primarily open to all members of the European Union.,European funding agency primarily open to all members of the European Union.,,ERC,None,,,
yes,NSF,NSF,National Science Foundation,National Science Foundation,funding agency,Förderargentur,The US research and science funding agency.,The US research and science funding agency.,,NSF,None,,,
yes,RSE,RSE,refractory siderophile elements,Refraktäre siderophile Elemente,acronym,Abkürzung,"These are siderophile elements (i.e., elements alloying with Fe into metals) with a 50% condensation temperature above 1400 K (i.e., refractory elements). Examples are: Mo, W, Os, Ir, Pt","These are siderophile elements (i.e., elements alloying with Fe into metals) with a 50% condensation temperature above 1400 K (i.e., refractory elements). Examples are: Mo, W, Os, Ir, Pt",,None,None,,,
yes,TCI,TCI,tochilinite-cronstedtite intergrowth,Tochilint-Cronstedtit Verwachsungen,"component, acronym","Komponente, Abkürzung","cf. FCI. This designates matrix material in CM chondrites, typically tochilinite-cronstedite intergrowths.","cf. FCI. This designates matrix material in CM chondrites, typically tochilinite-cronstedite intergrowths.",,None,None,,,
yes,PCP,PCP,poorly characterised phases,Schlecht charakterisierte Phase,"component, acronym","Komponente, Abkürzung",formerly PCP. This designates matrix material in CM chondrites.,formerly PCP. This designates matrix material in CM chondrites.,,"Palmer+Lauretta,2011",None,,,
,D/H ratio,D/H Verhältnis,Deuterium/Hydrogen ratio,Deuterium/ Wasserstoff Verhältnis,,,,,,"Fuchs+,1973",None,,,
yes,FIB,FIB,focussed ion beam section,Sektion durch fokussierten Ionenstrahl,"analytical, acronym","Analytisch, Abkürzung",An instrument to cut TEM sections using an ion beam.,An instrument to cut TEM sections using an ion beam.,,None,None,,,
,IOM,IOM,insoluable organic matter,Unlösliche organische Substanz,"component, acronym","Komponente, Abkürzung",,,,None,None,,,
yes,serpentinisation,,serpentinization,die Serpentinisierung,process,Prozess,"Olivine is a major mineral in meteorites. When a water-rich fluid permeates a meteorite, the water can react with the olivine to form serpentine. As olivine is a major mineral, large parts of a meteorite can be transformed into serpentine. This is serpentinisation, although this term does not make any statement about how much olivine was transformed. ","Olivine is a major mineral in meteorites. When a water-rich fluid permeates a meteorite, the water can react with the olivine to form serpentine. As olivine is a major mineral, large parts of a meteorite can be transformed into serpentine. This is serpentinisation, although this term does not make any statement about how much olivine was transformed. ",,None,None,,,
yes,EELS,,electron energy loss spectroscopy,Elektronenenergieverlustspektroskopie ,"analytical,acronym","Analytisch, Abkürzung",A technique used in TEM to determine element concentrations.,A technique used in TEM to determine element concentrations.,,None,None,,,
yes,distribution coefficient,Verteilungskoeffizient,"K, D","K, D",formula,Formel,The ratio of concentration (c) between two phases.,The ratio of concentration (c) between two phases.,K = c_Phase1 / c_Phase2,None,None,,,
yes,density correction,Dichtekorrektur,,,formula,Formel,"This is e.g., required when a bulk composition is calculated using modal recombination. Then, the densities of the various phases need to be considered. The formula for modal recombination with a density correction is:","This is e.g., required when a bulk composition is calculated using modal recombination. Then, the densities of the various phases need to be considered. The formula for modal recombination with a density correction is:","Sum(Ci*Di*Xi)/Sum(Di*Xi); C: concentration, D: density, X: abundance",None,None,,,
,activity,Aktivität,,,thermodynamic,Thermodynamik,,,,None,None,,,
,activity coefficient,Aktivitäzskoeffizient,,,thermodynamic,Thermodynamik,,,,None,None,,,
,thermodynamic,Thermodynamik,,,thermodynamic,Thermodynamik,,,,None,None,,,
yes,GCR,GCR,galactic cosmic ray,Galaktische kosmische Strahlung,acronym,Abkürzung,"A continous high energy stream (100 MeV-3 GeV) through the solar system and originating from our galaxy – likely e.g., supernovae –, and consising of electrons, protons, alpha particles, but also heavier elements.","A continous high energy stream (100 MeV-3 GeV) through the solar system and originating from our galaxy – likely e.g., supernovae –, and consising of electrons, protons, alpha particles, but also heavier elements.",,None,WikiCosmicRay,,,
yes,building blocks,Bausteine,,,component,Komponente,"The rocks that built up planetary bodies like the asteroids, comets, planets, etc.","The rocks that built up planetary bodies like the asteroids, comets, planets, etc.",,None,None,,,
yes,Stardust,Stardust,,,Mission,Mission,"The Stardust spacecraft flew through the tail of comet Wild 2 in 2010/2011 and returned sample material caputerd in an aerogel. Wild 2 is an origianlly jupiter family comet (orbits between Jupiter and Uranus), now orbiting the Sun between Mars and Jupiter. It has been speculated that the comet only contains uprocessed, primitive ISM material. However, the returned material contained componets commonly found in chondrites, such as chondrule and CAI like material, indicating this material was more wide-spread throughout the protoplanetary disk than known before.","The Stardust spacecraft flew through the tail of comet Wild 2 in 2010/2011 and returned sample material caputerd in an aerogel. Wild 2 is an origianlly jupiter family comet (orbits between Jupiter and Uranus), now orbiting the Sun between Mars and Jupiter. It has been speculated that the comet only contains uprocessed, primitive ISM material. However, the returned material contained componets commonly found in chondrites, such as chondrule and CAI like material, indicating this material was more wide-spread throughout the protoplanetary disk than known before.",,NASAStardust,None,,,
yes,Genesis,Genesis,,,Mission,Mission,"The Gensis spacecraft sampled solar wind material in 2004. It was thought that the Sun has the same oxygen isotope composition as the Earth, hence, the Earth has a normal, i.e., solar system oxygen isotope composition, assuming that the Sun is representative of the solar system. It turned out, however, that the Sun has about the same oxygen isotope composition as CAIs, i.e., around -40 and -40 permil in delta18O vs. delta16O oxygen 3-isotope space. This also means the Earth's oxygen isotope composition is different from the Sun.","The Gensis spacecraft sampled solar wind material in 2004. It was thought that the Sun has the same oxygen isotope composition as the Earth, hence, the Earth has a normal, i.e., solar system oxygen isotope composition, assuming that the Sun is representative of the solar system. It turned out, however, that the Sun has about the same oxygen isotope composition as CAIs, i.e., around -40 and -40 permil in delta18O vs. delta16O oxygen 3-isotope space. This also means the Earth's oxygen isotope composition is different from the Sun.",,NASAGenesis,None,,,
yes,Hayabusa,Hayabusa,,,Mission,Mission,"The Hayabusa spacecraft studied and brought back samples from S-type asteroid Itokoawa, on which it landed in 2005. The returndes samples showed Itokawa is an ordinary LL chondrite.","The Hayabusa spacecraft studied and brought back samples from S-type asteroid Itokoawa, on which it landed in 2005. The returndes samples showed Itokawa is an ordinary LL chondrite.",,JaxaHayabusa,None,,,
yes,Hayabusa II,Hayabusa II,,,Mission,Mission,The Hayabusa 2 spacecraft started studying the asteroid Ryugu in 2018.,The Hayabusa 2 spacecraft started studying the asteroid Ryugu in 2018.,,JaxaHayabusa2,None,,,
yes,Osiris Rex,Osiris Rex,,,Mission,Mission,The Osiris-Rex spacecraft studies the asteroid Bennu.,The Osiris-Rex spacecraft studies the asteroid Bennu.,,NasaOsirisRex,None,,,
yes,ecliptic,Ekliptisch,,,,,The plane in which the Earth orbits the Sun,The plane in which the Earth orbits the Sun,,None,None,,,
yes,KBO,KBO,"Kuiper Belt Object, Edgeworth-Kuiper Belt",Kuipergürtelobjekte,acronym,Abkürzung,"cf. 'trans-neptunian objects – TNO'. Objects bejond Neptune of mostly asteroidal sizes, and the origin of short-period comets. (G. P. Kuiper 1951, in Astrophysics: A Topical Symposium, ed. J. A. Hynek, New York: McGraw-Hill, K. E. Edgeworth 1943, J.B.A.A. 53, 186)","cf. 'trans-neptunian objects – TNO'. Objects bejond Neptune of mostly asteroidal sizes, and the origin of short-period comets. (G. P. Kuiper 1951, in Astrophysics: A Topical Symposium, ed. J. A. Hynek, New York: McGraw-Hill, K. E. Edgeworth 1943, J.B.A.A. 53, 186)",,kboInofPage,WikiKuiperBelt,,,
yes,SMOW,SMOW,Standard Mean Ocean Water,mittleres Standard-Ozeanwasser,"acronym, standard","Abkürzung, Standard","Standard Mean Ocean Water (SMOW): The most popular standard for oxygen isotopes. Variations are e.g., V-SMOW (Vienna-SMOW).","Standard Mean Ocean Water (SMOW): The most popular standard for oxygen isotopes. Variations are e.g., V-SMOW (Vienna-SMOW).",,None,None,,,
,DF,DF,Dark-field Imaging,Dunkelfeld Aufnahmen,"analytical, acronym","Analytisch, Abkürzung",,,,None,None,,,
,CL,CL,Cathodoluminescence,Kathodolumineszenz,"analytical, acronym","Analytisch, Abkürzung",,,,None,None,,,
yes,BSE,BSE,Back-Scattered Electron Image,Abbildungsverfahren mit zurückgestreuten Elektrone,"analytical, acronym",,"A type of image produced in an electron microprobe or scanning elelctron microscope. The electron beam rasters across the sample, and at each x-y coordinate records the amount of electrons bouncing back from the sample surface. This is then represented as a gray-scale image. Elements with higher mass scatter back more electrons than low mass elements, so that minerals with large amounts of high mass elements appear brighter.","A type of image produced in an electron microprobe or scanning elelctron microscope. The electron beam rasters across the sample, and at each x-y coordinate records the amount of electrons bouncing back from the sample surface. This is then represented as a gray-scale image. Elements with higher mass scatter back more electrons than low mass elements, so that minerals with large amounts of high mass elements appear brighter.",,None,None,,,
,BSE,BSE,bulk silicate Earth,Zusammenfassung aller Gesteine ohne den Erdkern,"geochemistry, acronym","Geochemie, Abkürzung",,,,None,None,,,
,metasomatism,Metasomatose,,,,,,,,None,None,,,
yes,Pa,Pa,Pascal,Pascal,unit,Einheit,SI pressure unit. The conversion to the still commonly used pressure unit bar is 1 Pa are 10^-5 bar,SI pressure unit. The conversion to the still commonly used pressure unit bar is 1 Pa are 10^-5 bar,,None,None,,,
yes,Bar,Bar,,,unit,Einheit,"Old pressure unit, still commonly used. The SI unit is Pa, which is 10^-5 bar.","Old pressure unit, still commonly used. The SI unit is Pa, which is 10^-5 bar.",,None,None,,,
yes,GERM,GERM,Geochemical Earth Reference Model,,"database,acronym","Datenbank, Abkürzung",Mainly reservoir data and partition coefficients are stored in this database.,Mainly reservoir data and partition coefficients are stored in this database.,,EarthRef,None,,,
yes,OSF,OSF,Open Science Foundation,,"organisation,acronym","Unternehmen, Abkürzung",An online framework for research. Founded in 2013.,An online framework for research. Founded in 2013.,,OSF,None,,,
yes,DMG,DMG,Deutsche Mineralogische Gesellschaft,Deutsche Mineralogische Gesellschaft,"society,acronym","Gesellschaft, Abkürzung",The german mineralogical society.,The german mineralogical society.,,DMG,None,,,
yes,The Meteoritical Society,The Meteoritical Society,,,society,Gesellschaft,"The Meteoritical Society (MetSoc) was founded in 1933 and is the global society for meteorite and planetary sciences. The MetSoc holds annual meetings in rotative venues around the world. MetSoc is behind the publications Meteoritics & Planetary Sciences, and partly behind Geochimica et Cosmochimica Acta.","The Meteoritical Society (MetSoc) was founded in 1933 and is the global society for meteorite and planetary sciences. The MetSoc holds annual meetings in rotative venues around the world. MetSoc is behind the publications Meteoritics & Planetary Sciences, and partly behind Geochimica et Cosmochimica Acta.",,TheMeteoritical Society,None,,,
yes,Mg-Number,Mg- Zahl,Mg#,Mg#,,,"This number designates the relative abundance of Mg cations in mol in a mineral and without Si. E.g., in olivine, the Mg-number is (Mg+Fe)/Mg (mol-ratio).","This number designates the relative abundance of Mg cations in mol in a mineral and without Si. E.g., in olivine, the Mg-number is (Mg+Fe)/Mg (mol-ratio).",,None,None,,,
yes,CIDP,CIDP,Chondritic Interplanetary Dust Particle,Chondritische interplanetare Staubpartikel,acronym,Abkürzung,A sub-type of interplanetary dust particles with chondritic characteristics.,A sub-type of interplanetary dust particles with chondritic characteristics.,,None,None,,,
yes,primary,Primär,,,,,"Features of an object, i.e., a meteorite or meteorite component that formed while the object itself formed, i.e., when a meteorite accreted, a chondrule formed, or a CAI condensed","Features of an object, i.e., a meteorite or meteorite component that formed while the object itself formed, i.e., when a meteorite accreted, a chondrule formed, or a CAI condensed",,None,None,,,
yes,secondary,Sekundär,,,,,"Features of an object, i.e., a meteorite or meteorite component that whas established after the object formed, e.g., elemental exchange between an object and its surrounding in the protoplanetary disk or on the parent body. Secondary features are often produced during aqeous or metamorphic alteration reactions.","Features of an object, i.e., a meteorite or meteorite component that whas established after the object formed, e.g., elemental exchange between an object and its surrounding in the protoplanetary disk or on the parent body. Secondary features are often produced during aqeous or metamorphic alteration reactions.",,None,None,,,
yes,Lagrange Point,Lagrange Punkt,"Lagrangian Point, L-point, liberation point",Liberationspunkt,,,"Points in which small bodies will orbit the Sun simultanisouly with a larger body. 5 such points exist, three along the orbit of the larger body, and one each closer and farther to the Sun relative to the larger body. Jupiter, for example, has many asteroids residing in L-points along its orbit, called 'Trojans'.","Points in which small bodies will orbit the Sun simultanisouly with a larger body. 5 such points exist, three along the orbit of the larger body, and one each closer and farther to the Sun relative to the larger body. Jupiter, for example, has many asteroids residing in L-points along its orbit, called 'Trojans'.",,None,WikiLagrangePoint,,,
yes,AU,AE,Astronomical Unit,Astronomische Einheit,,,Average distance between Sun and Earth: 149597870700 m or 149.6 * 10^6 km. ,Average distance between Sun and Earth: 149597870700 m or 149.6 * 10^6 km. ,,None,WikiAstronomicalUnit,,,
yes,Terrestrial Weathering,Teresstrische Verwitterung,,,,,"Meteorites progressively degrade by terrestrial weathering. This acts differentaly in the various environments such as hot and cold desers or the ocean floor. The extent of terrestrial weathering is measured on the two mainly used terrestrial weathering scale: the van Schmus scale, and the NASA scale for Antarctic meteorites.","Meteorites progressively degrade by terrestrial weathering. This acts differentaly in the various environments such as hot and cold desers or the ocean floor. The extent of terrestrial weathering is measured on the two mainly used terrestrial weathering scale: the van Schmus scale, and the NASA scale for Antarctic meteorites.",,None,None,,,
yes,Fossil Meteorite,Fossiler Meteorit,,,,,"Rare cases of meteorites in sedimentary rocks have been reported. These are often extensivley altered, but are important to trace changes in the meteorite flux to Earth. Cosmic spherules in e.g., antarctic ice cores or on old surfaces such as the Atacama desert might be special cases of fossil meteorites.","Rare cases of meteorites in sedimentary rocks have been reported. These are often extensivley altered, but are important to trace changes in the meteorite flux to Earth. Cosmic spherules in e.g., antarctic ice cores or on old surfaces such as the Atacama desert might be special cases of fossil meteorites.",,None,None,,,
,self-shielding,Selbstabschirmung,,,process,Prozess,,,,None,None,,,
yes,SI unit,SI Einheit,SI,,,,International System of Units,International System of Units,,None,None,,,
yes,Oort Cloud,Oortsche Wolke,,,concept,Konzept,"The hypothetical source region of long period (>1000 years) comets. The Oort Cloud was proposed by Jan Oort in 1950. The clould has a distance from the Sun of maybe 1 light year and is spherical, to explain the non-preferntial angles of the orbital planes of long-period comets.","The hypothetical source region of long period (>1000 years) comets. The Oort Cloud was proposed by Jan Oort in 1950. The clould has a distance from the Sun of maybe 1 light year and is spherical, to explain the non-preferntial angles of the orbital planes of long-period comets.",,"Oort,1950;oortCloudTutorial",WikiOortCloud,,,
,PAH,PAH,polyaromatic hyrdocarbons,Polyzyklische aromatische Kohlenwasserstoffe,"acronym, component","Abkürzung, Komponente",,,,None,None,,,
yes,Yarkovsky Effect,Yarkovsky-Effekt,,,process,Prozess,"Objects are warmed bythe Sun. If the object rotates, it will loose its warmth by radiation differentiall, i.e., more from the far side from the Sun than from the side facing the Sun. Depending on the rotation direction of the object, it will as a result either spiral into the Sun, or away from the Sun. This affects objects with sizes between about 10 cm to 10 km in diameter (i.e., meteoroid to asteroid sized).","Objects are warmed bythe Sun. If the object rotates, it will loose its warmth by radiation differentiall, i.e., more from the far side from the Sun than from the side facing the Sun. Depending on the rotation direction of the object, it will as a result either spiral into the Sun, or away from the Sun. This affects objects with sizes between about 10 cm to 10 km in diameter (i.e., meteoroid to asteroid sized).",,None,WikiYarkosvkyEffect,,,
yes,highly siderophile element,Hoch siderophiles Element,HSE,HSE,classification,Klassifikation,"Elements that strongly partition into metal phases, typically, Ru, Rh, Pd, Re, Os, Ir, Pt, Au","Elements that strongly partition into metal phases, typically, Ru, Rh, Pd, Re, Os, Ir, Pt, Au",,None,None,,,
,Pebble Accretion,Kieselakkretion,,,process,Prozess,,,,None,WikiPebbleAccrection,,,
yes,blank,Blindprobe,,,analytical,Analytisch,"The composition of a solution that should not contain anything except for the solving agent. For example, during sample preparation in solution based techniques the blank sample is processed through all steps of the procedure, but without an actual sample. This blank sample is then measured, and any possible composition, e.g., specific element concentration it might have is a contamination that can be expected in all the actual samples as well.","The composition of a solution that should not contain anything except for the solving agent. For example, during sample preparation in solution based techniques the blank sample is processed through all steps of the procedure, but without an actual sample. This blank sample is then measured, and any possible composition, e.g., specific element concentration it might have is a contamination that can be expected in all the actual samples as well.",,None,None,,,
,calibration,Kalibration,tuning,,analytical,Analytisch,Also EMP,Also EMP,,None,None,,,
,reproducibility,Reproduzierbarkeit,,,analytical,Analytisch,,,,None,None,,,
yes,PLAC,PLAC,platy hibonite crystals,Flache Hibonitkristalle,"acronym, component","Abkürzung, Komponente",A sub-type of CAIs with specific element patterns.,A sub-type of CAIs with specific element patterns.,,"Ireland+,1988",None,,,
yes,HAL,HAL,hibonite Allende,Allende Hibonit,"acronym, component","Abkürzung, Komponente","A sub-type of CAIs, named after a specific hibonite in Allende.","A sub-type of CAIs, named after a specific hibonite in Allende.",,"Allen+,1980",None,,,
yes,TNO,TNO,trans-neptunian objects,transneptunische Objekte,"acronym, planetary object","Abkürzung, Planetarisches Objekt","cf. 'Kuiper-Belt – KBO'. Objects bejond Neptune of mostly asteroidal sizes, and the origin of short-period comets. ","cf. 'Kuiper-Belt – KBO'. Objects bejond Neptune of mostly asteroidal sizes, and the origin of short-period comets. ",,None,None,,,
yes,OFM-Research,OFM-Research,,,organisation,Unternehmen,Not-for-profit research corporation to promote research on the thermodynamic properties of natural materials.,Not-for-profit research corporation to promote research on the thermodynamic properties of natural materials.,,OFM,None,,,
yes,SHIB,SHIB,spinel-hibonite grain,Spinell-Hobonit Korn,"acronym, component","Abkürzung, Komponente",Sub-type of CAI.,Sub-type of CAI.,,"Ireland+,1988",None,,,
yes,BAG,BAG,blue aggregate,Blaues Aggregat,"acronym, component","Abkürzung, Komponente",Sub-type of CAI.,Sub-type of CAI.,,"Ireland+,1988",None,,,
yes,Poynting–Robertson drag,Poyntning-Robertson-Effekt,"PR drag, PR effect",,,,"Grains between about 1 µm to 1 mm are affected by the combination of radiation pressure and radiation drag from the Sun, and will loose angular momentum and slowly spiral into the Sun","Grains between about 1 µm to 1 mm are affected by the combination of radiation pressure and radiation drag from the Sun, and will loose angular momentum and slowly spiral into the Sun",,None,WikiPoyntningRobertsonEffekt,,,
yes,in-situ,in-situ,,,analytical,Analytisch,"Any technique that studies a sample directly, e.g., in a thin section using an EMP or a LA-system.","Any technique that studies a sample directly, e.g., in a thin section using an EMP or a LA-system.",,None,None,,,
yes,JPL Small-Body Database Browser,JPL Small-Body Database Browser,,,database,Datenbank,A NASA/JPL search for specific small bodies such as asteroids or comets.,A NASA/JPL search for specific small bodies such as asteroids or comets.,,JPL-SmallBodyDataBrowser,None,,,
yes,JPL Solar System Dynamics,JPL Solar System Dynamics,,,database,Datenbank,A NASA/JPL database for dynamical elements of small bodies such as asteroids or comets.,A NASA/JPL database for dynamical elements of small bodies such as asteroids or comets.,,JPL-SoSyDynamics,None,,,
yes,JPL Small-Body Database Search Engine,JPL Small-Body Database Search Engine,,,database,Datenbank,A search enginge for the NASA/JPL database of small bodie such as asteroids or comets.,A search enginge for the NASA/JPL database of small bodie such as asteroids or comets.,,JPL-SmallBodySearchEngine,None,,,
yes,NASA,NASA,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"organisation, acronym","Unternehmen, Abkürzung",The US space agency.,The US space agency.,,NASA,None,,,
yes,JPL,JPL,Jet Propulsion Laboratory,Jet Propulsion Laboratory,"organisation, acronym","Unternehmen, Abkürzung",Research and Development Center.,Research and Development Center.,,JPL,None,,,
yes,MetBul,MetBul,Meteoritical Bulletin,Meteoritical Bulletin,"database, acronym","Datenbank, Abkürzung",The official database for basic meteorite information maintained by The Meteoritical Society.,The official database for basic meteorite information maintained by The Meteoritical Society.,,MetBull,None,,,
yes,ppm,ppm,"µg/g, ppmw, wt-ppm","µg/g, ppmw, wt-ppm",unit,Einheit,"parts per million (10^6) – strictly, this is a dimensionless number, indicating how many parts of a million are present in a quantity, similar to %. Often, it is assumed that ppm in fact means weight-ppm. But equivalent to wt%, this should in fact be wt-ppm, or alternatively, µg/g.","parts per million (10^6) – strictly, this is a dimensionless number, indicating how many parts of a million are present in a quantity, similar to %. Often, it is assumed that ppm in fact means weight-ppm. But equivalent to wt%, this should in fact be wt-ppm, or alternatively, µg/g.",,None,None,,,
yes,ppb,ppb,"ng/g, ppbw, wt-ppb","ng/g, ppbw, wt-ppb",unit,Einheit,"parts per billion (10^9) – strictly, this is a dimensionless number, indicating how many parts of a billion are present in a quantity, similar to %. Often, it is assumed that ppb in fact means weight-ppb. But equivalent to wt%, this should in fact be wt-ppb, or alternatively, ng/g.","parts per billion (10^9) – strictly, this is a dimensionless number, indicating how many parts of a billion are present in a quantity, similar to %. Often, it is assumed that ppb in fact means weight-ppb. But equivalent to wt%, this should in fact be wt-ppb, or alternatively, ng/g.",,None,None,,,
yes,ppt,ppt,"pg/g, pptw, wt-ppt","pg/g, pptw, wt-ppt",unit,Einheit,"parts per trillion (10^12) – strictly, this is a dimensionless number, indicating how many parts of a trillion are present in a quantity, similar to %. Often, it is assumed that ppt in fact means weight-ppt. But equivalent to wt%, this should in fact be wt-ppt, or alternatively, pg/g.","parts per trillion (10^12) – strictly, this is a dimensionless number, indicating how many parts of a trillion are present in a quantity, similar to %. Often, it is assumed that ppt in fact means weight-ppt. But equivalent to wt%, this should in fact be wt-ppt, or alternatively, pg/g.",,None,None,,,
yes,mg/g,mg/g,,,unit,Einheit,"The weight per thousand. Can be used instead of wt%, when divided by ten, as wt% is the weight in parts per hundred.","The weight per thousand. Can be used instead of wt%, when divided by ten, as wt% is the weight in parts per hundred.",,None,None,,,
yes,g/g,g/g,,,unit,Einheit,"The weight per one. Can be used instead of wt%, when multiplied by hundred, as wt% is the weight in parts per hundred.","The weight per one. Can be used instead of wt%, when multiplied by hundred, as wt% is the weight in parts per hundred.",,None,None,,,
yes,wt%,Gew%,weight percent,Gewichtsprozent,unit,Einheit,Weight percent. The weight in parts per hundred.,Weight percent. The weight in parts per hundred.,,None,None,,,
yes,vol%,Vol%,volum percent,Volumenprozent,unit,Einheit,Volume percent. The fraction of a volume in parts per hundred.,Volume percent. The fraction of a volume in parts per hundred.,,None,None,,,
yes,area%,area%,,,unit,Einheit,Area percent. The fraction of an area in parts per hundred.,Area percent. The fraction of an area in parts per hundred.,,None,None,,,
,significant number,Signifikannte Stellen,,,unit,Einheit,,,,None,None,,,
yes,delta,delta,d,d,unit,Einheit,"An isotope notation with the formula: delta = ((Rsmp/Rstd)-1)*1000, with Rsmp being an isotope ratio of a sample, and Rstd being the isotope ratio of a standard.","An isotope notation with the formula: delta = ((Rsmp/Rstd)-1)*1000, with Rsmp being an isotope ratio of a sample, and Rstd being the isotope ratio of a standard.",,None,None,,,
,Delta,Delta,"D, Big Delta, Capital Delta","D, Groß Delta,",unit,Einheit,The distance from the terrestrial fractionation line (TFL). Points with the same Delta will plot on a line parallel to the TFL. The Delta can be calculated with the formula: Delta = 0.52 ???,The distance from the terrestrial fractionation line (TFL). Points with the same Delta will plot on a line parallel to the TFL. The Delta can be calculated with the formula: Delta = 0.52 ???,,None,None,,,
,Delta',Delta',"D', Big Delta prime, Capital Delta prime","D', Groß Delta Strich",unit,Einheit,,,,None,None,,,
,delta',delta',"d', delta prime","d', delta Strich",unit,Einheit,,,,None,None,,,
yes,epsilon,Epsiloan,e,e,unit,Einheit,"An isotope notation with the formula: delta = ((Rsmp/Rstd)-1)*10.000, with Rsmp being an isotope ratio of a sample, and Rstd being the isotope ratio of a standard.","An isotope notation with the formula: delta = ((Rsmp/Rstd)-1)*10.000, with Rsmp being an isotope ratio of a sample, and Rstd being the isotope ratio of a standard.",,None,None,,,
yes,µ,µ,My,Mu,unit,Einheit,"An isotope notation with the formula: delta = ((Rsmp/Rstd)-1)*1.000.000, with Rsmp being an isotope ratio of a sample, and Rstd being the isotope ratio of a standard.","An isotope notation with the formula: delta = ((Rsmp/Rstd)-1)*1.000.000, with Rsmp being an isotope ratio of a sample, and Rstd being the isotope ratio of a standard.",,None,None,,,
yes,supercooling,Unterkühlung,,,"process, thermodynamic","Prozess, Thermodynamik",A melt below ist solidus. Such supercooled melts will crystallise instantly if they get in contact with a cooler object.,A melt below ist solidus. Such supercooled melts will crystallise instantly if they get in contact with a cooler object.,,"Arakawa+Nakamoto,2016",None,,,
yes,glass transition point,Glassübergangspunkt,glass-transition temperature,Glassübergangstemperatur,thermodynamic,Thermodynamik,"When a supercooled melt is further cooled, it will at some point become a glass solid.","When a supercooled melt is further cooled, it will at some point become a glass solid.",,"Tanaka+,2008",WikiGlassTransition,,,
yes,ALL,ALL,,,,,"The lowest 87Sr/86Sr ratio measured so far (0.69877±0.00002), which was in a CAI from Allende.","The lowest 87Sr/86Sr ratio measured so far (0.69877±0.00002), which was in a CAI from Allende.",,"Gray+,1973;MacPherson+,2018",None,,,
yes,ANT,ANT,"anorthosite, norite, troctolite","Anorthosit, Norit, Troctolith",acronym,Abkürzung,"Collective term for the lunar highland rocks: anorthosite, norite, troctolite.","Collective term for the lunar highland rocks: anorthosite, norite, troctolite.",,None,None,,,
yes,BABI,BABI,basaltic achondrite best initial,Basaltische achondritische beste Initial,"acronym, standard","Abkürzung, Standard","Basaltic achondrites are used to make a best estimate for the solar initial 87Sr/86Sr ratio, which currently is 0.69898±0.00003.","Basaltic achondrites are used to make a best estimate for the solar initial 87Sr/86Sr ratio, which currently is 0.69898±0.00003.",,"Papanastassiou&Wasserburg,1968",None,,,
yes,CHUR,CHUR,chondritic uniform reservoir,Chondritisch einheitliches Reservoir,"acronym, standard","Abkürzung, Standard","A hypothetical reservoir that represents the isotope composition of either the present day or initial – i.e., at the time of solar system foramtion 4.568 Ga ago.","A hypothetical reservoir that represents the isotope composition of either the present day or initial – i.e., at the time of solar system foramtion 4.568 Ga ago.",,None,None,,,
yes,ADOR,ADOR,,,"acronym, standard","Abkürzung, Standard",The initial 87Sr/86Sr in Angra dos Reis (angrite): 0.69884±0.00004,The initial 87Sr/86Sr in Angra dos Reis (angrite): 0.69884±0.00004,,"Papanastassiou+,1970",None,,,
yes,Cosmogenic Nuclides,Kosmogene Nuklide,,,,,"These are produced by interaction with cosmic rays, e.g., while a meteor travles through space, or on the surface of planetary bodies without an atmosphere. E.g., noble gas nuclides.","These are produced by interaction with cosmic rays, e.g., while a meteor travles through space, or on the surface of planetary bodies without an atmosphere. E.g., noble gas nuclides.",,None,None,,,
yes,HED,HED,,,acronym,Abkürzung,"howardites, eucrites, diogenites. These meteorite groups liekly originated from the asteroid Vesta.","howardites, eucrites, diogenites. These meteorite groups liekly originated from the asteroid Vesta.",,None,None,,,
yes,fugacity,Flüchtigkeit,f,f,thermodynamic,Thermodynamik,"The amount of a gas species in a gas mixture is experessed a its partial pressure, where partial essentially is the modal abundance of the considered gas species. The partial pressure is given as 'p'. In a non-ideal gas, the deviation of a gas specias from non-ideality is called the fugacity. The coefficient 'gamma' quantifies the deviation from non-ideality. The relationship between partial pressure and fugacity is then: f = gamma * p.","The amount of a gas species in a gas mixture is experessed a its partial pressure, where partial essentially is the modal abundance of the considered gas species. The partial pressure is given as 'p'. In a non-ideal gas, the deviation of a gas specias from non-ideality is called the fugacity. The coefficient 'gamma' quantifies the deviation from non-ideality. The relationship between partial pressure and fugacity is then: f = gamma * p.",,None,None,,,
